time_s,freq_dev_hz,gov_droop_sum,gov_active_count,gov_pe_sum,pvd_droop_sum,pvd_active_count,pvd_pe_sum,pvd_pref_sum,pvd_pavail_sum,pvd_pext0_sum,esd_droop_sum,esd_active_count,esd_pe_sum,esd_pref_sum,esd_pext0_sum,esd_soc_mean,esd_soc_min,esd_soc_max,esd_soc_1,esd_soc_2,gov_paux0_sum,dg_pext0_sum,gov_pref0_sum,agc_request_sum_total,agc_update,gov_pe_sum_delta,pvd_pe_sum_delta,esd_pe_sum_delta,gov_pref0_sum_delta,pvd_pref_sum_delta,esd_pref_sum_delta
0.0,0.04711083782028336,-0.15191456789671487,25,6.17922880603668,-0.10794262120169842,22,6.942941217519555,7.011262890980859,7.154349888755979,0.0,-0.03357711080628758,2,-0.02386216113335212,0.0,0.0,0.501779729009818,0.5017796856695151,0.5017797723501211,0.5017796856695151,0.5017797723501211,-0.32493975671072084,0.0,6.639322418913963,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.04386914269103315,-0.1312833684547475,25,6.18709513762493,-0.07790591332804561,22,6.929553225004974,7.023765729865927,7.167107887618291,0.0,-0.024606687066108097,2,-0.029019605760609406,0.0,0.0,0.5017838885748576,0.501783844877708,0.5017839322720072,0.501783844877708,0.5017839322720072,-0.32493975671072084,0.0,6.638505595200275,0.0,0,0.00786633158825012,-0.01338799251458056,-0.005157444627257285,-0.0008168237136878531,0.012502838885067646,0.0
2.0,0.046941147460479726,-0.15035848270314903,25,6.174067458832077,-0.10723320919225303,22,6.932655141939046,7.025589448394369,7.168968824892212,0.0,-0.033502873413922885,2,-0.028669564052353675,0.0,0.0,0.5017880536860202,0.5017880104649483,0.5017880969070923,0.5017880104649483,0.5017880969070923,-0.32493975671072084,0.0,6.637688775993919,0.0,0,-0.0051613472046030395,-0.010286075580508758,-0.004807402919001554,-0.0016336429200443092,0.014326557413509633,0.0
3.0,0.04327204103077076,-0.13015454121319076,25,6.180589491246868,-0.0722596986744421,22,6.924705304386909,7.011852482600997,7.154951512858162,0.0,-0.022975042077571554,2,-0.028861464065470657,0.0,0.0,0.5017925111927672,0.5017924673705935,0.5017925550149411,0.5017924673705935,0.5017925550149411,-0.32493975671072084,0.0,6.636871956787562,0.0,0,0.0013606852101881728,-0.01823591313264572,-0.004999302932118536,-0.0024504621264007653,0.0005895916201374973,0.0
4.0,0.04079205809970343,-0.12793110982459827,25,6.160912012714448,-0.048508615559065875,22,6.963534340365929,7.017785720119769,7.161005836856906,0.0,-0.015453261359880835,2,-0.01689049216364975,0.0,0.0,0.5017958649763752,0.5017958163947907,0.5017959135579596,0.5017958163947907,0.5017959135579596,-0.32100783281109657,0.0,6.636055137581206,-0.32100783281109657,1,-0.01831679332223235,0.020593122846374712,0.006971668969702371,-0.0032672813327572214,0.006522829138909891,0.0
5.0,0.05506246163876849,-0.1759842618814372,25,6.204989224032014,-0.1842611449371447,22,6.905177640517501,7.046026442230792,7.189822900235499,0.0,-0.05689431933170368,2,-0.04092898455236676,0.0,0.0,0.5017999406562537,0.5017998997214483,0.5017999815910591,0.5017998997214483,0.5017999815910591,-0.32100783281109657,0.0,6.635238318374849,-0.32100783281109657,0,0.025760417995333462,-0.03776357700205324,-0.017066823419014637,-0.0040841005391136775,0.03476355124993269,0.0
6.0,0.034113804300353046,-0.09712301794024394,23,6.153641771655389,1.3552527156068805e-20,0,6.95810222918069,7.026835595860474,7.1702404039392595,0.0,0.0,0,-0.021867815696556256,0.0,0.0,0.5018050802797034,0.5018050394965218,0.5018051210628849,0.5018050394965218,0.5018051210628849,-0.32100783281109657,0.0,6.634421499168492,-0.32100783281109657,0,-0.025587034381291396,0.015161011661135149,0.001994345436795865,-0.004900919745471022,0.015572704879614818,0.0
7.0,0.04878949911509167,-0.15900645638319583,25,6.179335702459299,-0.12373475616874714,22,6.956470334545429,7.028536834400122,7.171976361632779,0.0,-0.03817468733233136,2,-0.02277171906014369,0.0,0.0,0.5018078672089912,0.5018078256140293,0.5018079088039532,0.5018078256140293,0.5018079088039532,-0.32100783281109657,0.0,6.6336046799621355,-0.32100783281109657,0,0.00010689642261851873,0.013529117025874449,0.0010904420732084294,-0.005717738951827478,0.017273943419263027,0.0
8.0,0.04031947906136146,-0.11470189673680395,25,6.184103181033032,-0.04396198969548513,22,6.946142614776634,7.025828924096451,7.169213187853526,0.0,-0.01427619456011295,2,-0.02548685243608957,0.0,0.0,0.501811867720505,0.5018118277070089,0.5018119077340011,0.5018118277070089,0.5018119077340011,-0.3250498522346654,0.0,6.632787860755779,-0.3250498522346654,1,0.004874374996351349,0.0032013972570794635,-0.0016246913027374507,-0.006534558158183934,0.014566033115591459,0.0
9.0,0.04831982474606811,-0.15685911438742484,25,6.172910891746041,-0.11984024583423047,22,6.9457353629701855,7.031981317124659,7.175491139923121,0.0,-0.037187674228053864,2,-0.02646260531579436,0.0,0.0,0.5018154180780399,0.501815379262877,0.5018154568932028,0.501815379262877,0.5018154568932028,-0.3250498522346654,0.0,6.631971041549422,-0.3250498522346654,0,-0.006317914290638882,0.002794145450630836,-0.0026004441824422388,-0.007351377364541278,0.020718426143799817,0.0
10.0,0.043375631288902206,-0.12957783829009634,25,6.178216720693659,-0.07341303204261182,22,6.936199095286687,7.031620927368782,7.175123395274267,0.0,-0.02330450931029218,2,-0.029747584882290682,0.0,0.0,0.5018198697780403,0.5018198325513429,0.5018199070047376,0.5018198325513429,0.5018199070047376,-0.3250498522346654,0.0,6.631154222343065,-0.3250498522346654,0,-0.0010120853430208854,-0.006742122232867409,-0.005885423748938561,-0.008168196570897734,0.020358036387922773,0.0
