label,dispatch_label,hour,dispatch,dispatch_json,dispatch_json_source,next_dispatch_json,freq_csv,freq_png,checkpoint_in,signature_hash,kp,ki,agc_interval,wind_pref_alpha,solar_pref_alpha,agc_allocation_mode,init_mode,apply_governor_targets,apply_dg_targets,governor_target_schedule,dispatch_target_ramp_seconds,agc_gov_output_ramp_frac_pmax_per_min,agc_dg_output_ramp_frac_pmax_per_min,agc_anti_windup_mode,traditional_governor_deadband_hz,traditional_governor_deadband_csv,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,der_deadband_hz,der_base_ddn,pvd1_base_ddn,esd1_base_ddn,pvd1_tfdb,esd1_tfdb,target_storage_share,achieved_storage_share,storage_scale_factor,storage_scale_applied_factor,scale_esd1_ddn_with_storage,disable_der_frequency_deadband,disable_der_agc,disable_pvd_agc,disable_esd_agc,recompute_ace_raw_on_load,reset_ace_integral_on_load,resume_mode,start_dae_t,end_dae_t,ace_integral_start,ace_raw_start,ace_integral_end,ace_raw_end,agc_freeze_active_start,agc_freeze_on_streak_start,agc_freeze_off_streak_start,agc_freeze_dir_start,agc_freeze_active_end,agc_freeze_on_streak_end,agc_freeze_off_streak_end,agc_freeze_dir_end,der_deadband_disabled_count,traditional_governor_deadband_count,configured_pvd1_deadband_count,configured_esd1_deadband_count,configured_pvd1_ddn,configured_esd1_ddn,configured_wind_pvd1_deadband_count,configured_solar_pvd1_deadband_count,configured_esd1_resource_deadband_count,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,max_abs_hz,final_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,zero_crossings,gov_paux0_tv,dg_pext0_tv,freq_d1_abs_mean,freq_d1_abs_p95,saturation_fraction,integrator_freeze_fraction,saturation_step_count,integrator_freeze_step_count,agc_request_sum_total_abs_mean,agc_request_sum_total_abs_max,agc_applied_sum_total_abs_mean,agc_applied_sum_total_abs_max,agc_clip_deficit_sum_total_abs_mean,agc_clip_deficit_sum_total_abs_max,agc_saturation_ratio_mean,agc_saturation_ratio_max,agc_freeze_streak_max,agc_freeze_streak_end,agc_unfreeze_streak_end,elapsed_s
h0d0,h0d0,0,0,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d0_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d0_frequency.png,,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,cold,0.0,899.0,0.0,0.0,2.8360277200044406,-0.0113508810503522,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0395330313491881,209.0,0.0288773698689404,575.0,0.0128771555790097,0.0092083088331613,0.0114573417032325,0.0395330313491881,0.0128771555790097,0.0011111111111111,0.0,254,1.510275886178106,0.0,0.0083369600752752,0.020404875643893,0.0,0.0,0,0,0.0069964938120517,0.020073395536629,0.0069964938120517,0.020073395536629,2.8189256484623116e-20,1.734723475976807e-18,5.589788054690958e-18,1.7027265498917426e-16,0,0,0,64.06408291700063
h0d1,h0d1,0,1,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d1_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d1_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h0d0,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,899.0,1798.0,2.8360277200044406,-0.0113508810503522,-23.027689804858746,0.060738562981668,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0456600180200994,715.0,0.037451153135426,201.0,-0.0332952062298108,0.0185974607045448,0.0212634245964794,0.0456600180200994,0.0332952062298108,0.0566666666666666,0.0,87,1.0650821219208446,0.0,0.0087229795093589,0.0217325795919864,0.0,0.0,0,0,0.0318338593431737,0.0598447838883754,0.0318338593431737,0.0598447838883754,3.893490468303501e-19,6.938893903907228e-18,1.104058991103246e-17,1.8402486925919671e-16,0,0,0,80.70636879201629
h0d2,h0d2,0,2,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d2_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d2_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h0d1,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,1798.0,2697.0,-23.027689804858746,0.060738562981668,-90.34895980154477,0.1960895568953832,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0465277028730137,157.0,0.0335206744481064,709.0,-0.0349016718646089,0.0200280936105267,0.0227706404748668,0.0465277028730137,0.0349016718646089,0.0622222222222222,0.0,82,1.0177794141673224,0.0,0.0085988251017178,0.0216144017233121,0.0,0.0,0,0,0.141877133499696,0.1934325413641071,0.141877133499696,0.1934325413641071,0.0,0.0,0.0,0.0,0,0,0,81.46096754199243
h0d3,h0d3,0,3,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h0d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d3_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h0d3_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h0d2,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,2697.0,3596.0,-90.34895980154477,0.1960895568953832,-105.54171262239691,0.2164954456838489,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0400621679826374,34.0,0.0336181519028544,705.0,-0.012272155190609,0.0131829173836001,0.0156966964024329,0.0400621679826374,0.012272155190609,0.0055555555555555,0.0,180,1.343632966900374,0.0,0.0089173479812464,0.0214667536509345,0.0,0.0,0,0,0.2169119007511235,0.2398155901726461,0.2169119007511235,0.2398155901726461,0.0,0.0,0.0,0.0,0,0,0,79.7527575409913
h1d0,h1d0,1,0,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d0_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d0_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h0d3,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,3596.0,4495.0,-105.54171262239691,0.2164954456838489,-94.20168159595744,0.1775810918804715,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0348160984156553,116.0,0.040103692861293,776.0,0.0245402977583708,0.0151494577959977,0.0174976973411789,0.040103692861293,0.0245402977583708,0.0044444444444444,0.0,101,1.0796724452578528,0.0,0.0086800095058675,0.0203329743724189,0.0,0.0,0,0,0.2306638696210174,0.2684334142865694,0.2306638696210174,0.2684334142865694,0.0,0.0,0.0,0.0,0,0,0,88.24349724999047
h1d1,h1d1,1,1,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d1_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d1_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h1d0,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,4495.0,5394.0,-94.20168159595744,0.1775810918804715,5.699309268713235,-0.0252346184281539,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0209733732489336,143.0,0.0604145922418242,877.0,0.0313741494120822,0.0254578746743348,0.0286145344232572,0.0604145922418242,0.0313741494120822,0.2544444444444444,0.0155555555555555,52,0.9927693783727696,0.0,0.0086031352034066,0.0219949948708717,0.0,0.0,0,0,0.1066428054752251,0.1885825682430164,0.1066428054752251,0.1885825682430164,7.709882115452476e-21,1.734723475976807e-18,5.498042518733765e-19,1.237059566715097e-16,0,0,0,77.80186587499338
h1d2,h1d2,1,2,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d2_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d2_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h1d1,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,5394.0,6293.0,5.699309268713235,-0.0252346184281539,48.17838906606718,-0.0906523527488444,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.035412759937099,852.0,0.0502431465426145,245.0,-0.0129352049507724,0.0216982486698882,0.0245983607975588,0.0502431465426145,0.0129352049507724,0.1266666666666666,0.0022222222222222,73,1.0361787165093614,0.0,0.0089493076375806,0.0216782957108449,0.0,0.0,0,0,0.1044437839664466,0.1526960389650108,0.1044437839664466,0.1526960389650108,1.1102230246251568e-18,2.7755575615628914e-17,9.510117773482682e-18,2.177002942277451e-16,0,0,0,79.07272212498356
h1d3,h1d3,1,3,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h1d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d3_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h1d3_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h1d2,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,6293.0,7192.0,48.17838906606718,-0.0906523527488444,-21.327488802770542,0.0534305318383863,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0545944034960577,887.0,0.0326958438782742,131.0,-0.0244343633397869,0.0205596641847022,0.0235515172395703,0.0545944034960577,0.0244343633397869,0.1033333333333333,0.0044444444444444,82,1.106816900020623,0.0,0.0092280161887292,0.0226342651828685,0.0,0.0,0,0,0.0580101018402152,0.1052037276825124,0.0580101018402152,0.1052037276825124,4.78976426422485e-19,1.3877787807814457e-17,6.478999849948707e-18,1.782631404824651e-16,0,0,0,78.90518333300133
h2d0,h2d0,2,0,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d0_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d0_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h1d3,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,7192.0,8091.0,-21.327488802770542,0.0534305318383863,-62.12516894595317,0.118387198435815,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0594659760723481,23.0,0.0394283017132313,740.0,0.0132951008074622,0.021591628886776,0.0244518876346212,0.0594659760723481,0.0132951008074622,0.1222222222222222,0.0033333333333333,65,1.0378271767861122,0.0,0.0090905527565736,0.0215831796367586,0.0,0.0,0,0,0.1330143512220668,0.1764388158041601,0.1330143512220668,0.1764388158041601,0.0,0.0,0.0,0.0,0,0,0,79.43569162499625
h2d1,h2d1,2,1,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d1_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d1_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h2d0,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,8091.0,8990.0,-62.12516894595317,0.118387198435815,5.45834881707144,-0.0192312239339852,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0148143816388168,434.0,0.0483845531799076,100.0,0.0188538011334316,0.0172500349200478,0.0192090681706132,0.0483845531799076,0.0188538011334316,0.0077777777777777,0.0,66,1.021284440533512,0.0,0.0086582683585545,0.0207898636552834,0.0,0.0,0,0,0.0581451562167143,0.1242404919168421,0.0581451562167143,0.1242404919168421,1.1564823173178716e-20,1.734723475976807e-18,1.37718723613943e-18,1.718998634638163e-16,0,0,0,83.73127912500058
h2d2,h2d2,2,2,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d2_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d2_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h2d1,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,8990.0,9889.0,5.45834881707144,-0.0192312239339852,23.89389296473411,-0.0595212510894679,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0350590099384384,258.0,0.0405965428844723,770.0,0.0266064969614499,0.0149730368895886,0.0174116113762947,0.0405965428844723,0.0266064969614499,0.0077777777777777,0.0,114,1.153620005979473,0.0,0.008111733257661,0.0198647802205975,0.0,0.0,0,0,0.0193040575606549,0.0606478104104123,0.0193040575606549,0.0606478104104123,1.5612511283791266e-19,6.938893903907228e-18,6.5945198095048395e-18,2.0934315579558416e-16,0,0,0,84.53534450000734
h2d3,h2d3,2,3,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h2d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curveorig_opf_aligned_dyncase_slack47_pmax730_sn730_alpha098/h3d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d3_frequency.csv,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015/h2d3_frequency.png,/Applications/openandes/demo/demo/deadband/results/checkpoints/99034823d168/end_h2d2,99034823d168,0.1,0.002,4,0.98,0.98,headroom_aware,first,1,0,ramp_limited_basepoint,0,0.0,0.0,freeze_on_saturation,,,0.036,0.025,0.015,,,,,,,,0.0404653618350501,1.0,1.0,0,0,0,1,1,0,0,checkpoint,9889.0,10788.0,23.89389296473411,-0.0595212510894679,75.19319027585699,-0.1546689793240166,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10,2,900,899.0,-0.0244536256900484,647.0,0.0448430489056672,96.0,0.009711108327215,0.0162719951338218,0.0189188530104907,0.0448430489056672,0.009711108327215,0.0166666666666666,0.0,104,1.2406305170703993,0.0,0.0082636877003169,0.0208619046236975,0.0,0.0,0,0,0.1240763152225265,0.1597845202347801,0.1240763152225265,0.1597845202347801,1.3569392523196358e-18,2.7755575615628914e-17,1.0091282681614346e-17,2.064318910384001e-16,0,0,0,82.84668204199988
